feature,importance_degraded
TransactionDT,0.0
TransactionAmt,-0.008246860163058442
ProductCD,-0.0013734312100402435
card1,0.0013601613432765447
card2,-0.00827506647472879
card3,0.001432243905534425
card4,0.0009067742288510298
card5,-0.0055344496036771424
card6,-0.002313837687413056
addr1,-0.008301674405515713
addr2,0.0
dist1,0.0
dist2,0.0
P_emaildomain,-0.011991307474633783
R_emaildomain,-0.0013892601037965673
C1,0.01972473051049317
C2,-0.011042291276567362
C3,0.0
C4,0.005595473943631875
C5,0.0
C6,0.00648385518609651
C7,0.00558844423395688
C8,0.013591242632583397
C9,0.0
C10,-0.0018493263533364928
C11,0.014886731391585731
C12,0.021700942224433733
C13,0.0079363089461848
C14,-0.003682845608532067
D1,0.006041831348382394
D2,0.0
D3,-0.0055344496036771424
D4,-0.004616551155175064
D5,-0.0073770968218992245
D6,0.0009067742288510298
D7,0.0
D8,0.0004533871144255149
D9,0.0013601613432765447
D10,0.0
D11,0.0
D12,0.0
D13,0.0004533871144255149
D14,0.0
D15,0.0
M1,0.0
M2,0.0
M3,0.0
M4,0.004684276425859613
M5,0.0
M6,0.0
M7,0.0
M8,0.0
M9,0.0
V1,0.0
V2,0.0
V3,0.0
V4,0.0
V5,0.0
V6,0.0
V7,0.0
V8,0.0
V9,0.0
V10,0.0
V11,0.0
V12,0.0
V13,0.0
V14,0.0
V15,0.0
V16,-0.0055344496036771424
V17,-0.0036919735715585746
V18,0.0
V19,0.0
V20,0.0004533871144255149
V21,0.0
V22,0.0
V23,0.0
V24,0.0
V25,0.0
V26,0.0
V27,0.0
V28,0.0
V29,0.0
V30,0.0
V31,-0.004616551155175064
V32,0.0009067742288510298
V33,-0.0041520398210985006
V34,-0.008301674405515713
V35,0.0
V36,0.0
V37,0.0013601613432765447
V38,0.0013601613432765447
V39,0.0
V40,0.0
V41,0.0
V42,0.0013601613432765447
V43,0.0
V44,0.00558844423395688
V45,0.014025899253852595
V46,0.0
V47,0.0
V48,0.0
V49,0.0
V50,0.0
V51,-0.0055344496036771424
V52,0.0013601613432765447
V53,0.0009067742288510298
V54,-0.0055344496036771424
V55,0.0
V56,0.0027072442120985585
V57,-0.0055344496036771424
V58,-0.0055344496036771424
V59,-0.004167523532234392
V60,-0.0032429459486179035
V61,0.0004533871144255149
V62,0.0
V63,-0.0055344496036771424
V64,-0.004616551155175064
V65,0.0
V66,0.0
V67,0.0
V68,0.0
V69,0.0
V70,0.0
V71,-0.004616551155175064
V72,-0.004616551155175064
V73,-0.009611492648972394
V74,-0.009611492648972394
V75,0.0
V76,0.0
V77,0.0
V78,-0.008301674405515713
V79,0.0
V80,0.0
V81,-0.0013734312100402435
V82,0.0
V83,0.0
V84,-0.0055344496036771424
V85,0.0013601613432765447
V86,0.00838266635093532
V87,0.008824690188649434
V88,0.0
V89,0.0
V90,0.0
V91,0.0
V92,0.0
V93,0.0
V94,0.0
V95,0.0
V96,0.0
V97,0.0
V98,0.0
V99,0.0
V100,0.0004533871144255149
V101,-0.0013734312100402435
V102,-0.003682845608532067
V103,-0.0013734312100402435
V104,0.0
V105,0.0
V106,0.0004533871144255149
V107,0.0
V108,0.0
V109,0.0
V110,0.0
V111,0.0
V112,0.0
V113,0.0
V114,0.0
V115,0.0
V116,0.0
V117,0.0
V118,0.0
V119,0.0
V120,0.0
V121,0.0
V122,0.0
V123,0.0
V124,0.0009024147373661862
V125,0.0004533871144255149
V126,0.0009067742288510298
V127,0.0009067742288510298
V128,0.0009067742288510298
V129,0.0
V130,0.0
V131,0.0
V132,0.0004533871144255149
V133,0.0
V134,-0.0009156208066934957
V135,0.0
V136,0.0
V137,0.0
V138,0.0
V139,0.0
V140,0.0
V141,0.0
V142,0.0
V143,0.001355801851791701
V144,-0.0027672248018385712
V145,0.0
V146,0.0
V147,0.0
V148,0.0079363089461848
V149,0.0079363089461848
V150,0.0
V151,0.0
V152,0.0009067742288510298
V153,0.0009067742288510298
V154,0.0
V155,0.007043594136683762
V156,0.0079363089461848
V157,0.0009067742288510298
V158,0.0009067742288510298
V159,0.0
V160,0.0009067742288510298
V161,0.0
V162,0.0
V163,0.0
V164,-0.0023027134677620076
V165,0.0009067742288510298
V166,0.0
V167,0.001355801851791701
V168,-0.00783716307143915
V169,0.0
V170,0.00838266635093532
V171,0.0004533871144255149
V172,0.0
V173,0.0
V174,0.0
V175,0.0
V176,0.0
V177,-0.007372651737362586
V178,-0.016048123227479394
V179,0.001355801851791701
V180,0.001355801851791701
V181,0.0
V182,0.001355801851791701
V183,0.00926671402636355
V184,0.00838266635093532
V185,0.0009067742288510298
V186,0.0013601613432765447
V187,0.015543545841503636
V188,0.016847515705311233
V189,0.016847515705311233
V190,-0.006908140403286023
V191,0.0
V192,0.0
V193,0.0
V194,0.00279422211697844
V195,0.0
V196,0.0
V197,-0.0013734312100402435
V198,0.007043594136683762
V199,-0.007372651737362586
V200,0.0
V201,0.025395762590272097
V202,-0.008301674405515713
V203,-0.00783716307143915
V204,-0.016048123227479394
V205,0.0
V206,0.0
V207,0.0
V208,0.0
V209,0.0
V210,0.0
V211,0.0004533871144255149
V212,-0.0069125854878226605
V213,0.0004533871144255149
V214,0.0004533871144255149
V215,-0.0009156208066934957
V216,0.001355801851791701
V217,0.0013601613432765447
V218,0.0009067742288510298
V219,-0.008301674405515713
V220,0.0
V221,-0.0013959392389109777
V222,-0.012367593231159916
V223,0.0
V224,0.0
V225,0.0
V226,0.0
V227,0.0
V228,-0.006908140403286023
V229,-0.01378290814761901
V230,0.0
V231,0.008824690188649434
V232,0.001809188966217216
V233,0.00838266635093532
V234,0.0004533871144255149
V235,0.0
V236,-0.0027672248018385712
V237,0.0004533871144255149
V238,0.0
V239,0.0
V240,0.0
V241,0.0
V242,0.00558844423395688
V243,-0.0027672248018385712
V244,-0.0027672248018385712
V245,0.0
V246,0.0
V247,0.0
V248,0.0
V249,0.0
V250,0.0
V251,0.0
V252,-0.0013734312100402435
V253,0.0
V254,0.0
V255,-0.0013734312100402435
V256,-0.0009156208066934957
V257,0.008824690188649434
V258,0.00838266635093532
V259,0.00558844423395688
V260,0.0
V261,-0.00783716307143915
V262,-0.008301674405515713
V263,-0.008301674405515713
V264,-0.00783716307143915
V265,0.0
V266,0.0
V267,0.0
V268,0.0
V269,0.0
V270,0.0
V271,0.0
V272,0.0
V273,0.0004533871144255149
V274,0.0
V275,0.001809188966217216
V276,0.0004533871144255149
V277,-0.0023027134677620076
V278,-0.0023027134677620076
V279,0.001355801851791701
V280,0.0
V281,0.0
V282,0.0013601613432765447
V283,0.0013601613432765447
V284,-0.0027672248018385712
V285,0.0
V286,0.0
V287,0.0
V288,0.0
V289,0.0
V290,0.0
V291,0.0
V292,0.0
V293,0.001355801851791701
V294,0.0022582165891578874
V295,-0.0069125854878226605
V296,0.0004533871144255149
V297,0.0
V298,0.0004533871144255149
V299,0.0
V300,0.0
V301,0.0
V302,0.0009067742288510298
V303,0.0004533871144255149
V304,0.0004533871144255149
V305,0.0
V306,0.0
V307,0.0004533871144255149
V308,0.0004533871144255149
V309,0.0
V310,0.0
V311,0.0
V312,0.0004533871144255149
V313,0.0
V314,0.0
V315,0.0004533871144255149
V316,0.0004533871144255149
V317,0.001355801851791701
V318,0.0009067742288510298
V319,0.0
V320,0.0004533871144255149
V321,0.0
V322,0.0
V323,0.0004533871144255149
V324,0.0
V325,0.0
V326,0.0
V327,0.0
V328,0.0
V329,0.0
V330,0.0
V331,0.0
V332,0.0
V333,0.0
V334,0.0
V335,0.0
V336,0.0
V337,0.0
V338,0.0004533871144255149
V339,0.0
id_01,0.0
id_02,-0.0027672248018385712
id_03,0.0
id_04,0.0
id_05,0.0
id_06,-0.0027672248018385712
id_07,0.0
id_08,0.0
id_09,0.0
id_10,0.0
id_11,0.0
id_12,0.0
id_13,-0.0041520398210985006
id_14,0.0
id_15,0.0
id_16,-0.0018604505729875413
id_17,0.00558844423395688
id_18,0.0
id_19,0.0004533871144255149
id_20,-0.0018493263533364928
id_21,0.0
id_22,0.0
id_23,0.0
id_24,0.0
id_25,0.0
id_26,0.0
id_27,0.0
id_28,0.0
id_29,-0.0027672248018385712
id_30,0.0
id_31,0.0
id_32,0.0
id_33,-0.0055344496036771424
id_34,0.0
id_35,0.0
id_36,0.0
id_37,0.0004533871144255149
id_38,0.0
DeviceType,-0.0073571680262267125
DeviceInfo,-0.005069938269600578
